"text-primary-medium-blue href","text-primary-medium-blue","bds-body","dtm-search-listing-seal src","seal-trademark","result-rating","text-size-7","bds-h5","service-area-list","service-area-list 2","responsive-img src","text-black","text-black href","bds-body 2","bbb__hideAt-smDown","bds-body 3","bds-cta","bds-cta href"
"https://www.bbb.org/ca/ns/halifax/profile/plumber/pace-plumbing-heating-ltd-0087-4301","Pace Plumbing & Heating Ltd","Plumber, Heating and Air Conditioning","https://m.bbb.org/brand/seals/Accredited_Business_Seal_NoRating_RGB.svg","™","BBB Rating: A+","Service Area","Serving the following areas:","NS","CAN","https://m.bbb.org/prod/ProfileImages/9969b84a-94aa-49e4-ab9e-12dd3e34b93e.gif?tx=w_80","(902) 477-6747","tel:+1-902-477-6747","34 Winchester Avenue Halifax, NS",",","B3P 2C8","Get a Quote","https://www.bbb.org/atlantic-provinces/quote/request-pace-plumbing-heating-ltd-4301"
"https://www.bbb.org/ca/ns/halifax/profile/heating-contractors/david-canning-heat-maintenance-0087-23257","David Canning Heat & Maintenance","Heating Contractors, Plumber, Property Maintenance","https://m.bbb.org/brand/seals/Accredited_Business_Seal_NoRating_RGB.svg","™","BBB Rating: A+","","","","","https://m.bbb.org/prod/ProfileImages/e7b27913-13b7-48ea-a85a-4b4d6c24bde4.png?tx=w_80","(902) 434-7341","tel:+1-902-434-7341","66 Inverness Ave Halifax, NS",",","B3P 1X7","Get a Quote","https://www.bbb.org/atlantic-provinces/quote/request-david-canning-heat-maintenance-23257"
"https://www.bbb.org/ca/ns/halifax/profile/plumber/dimitris-plumbing-heating-limited-0087-42693","Dimitri's Plumbing & Heating Limited","Plumber, Drainage Contractors, Heating Contractors ...","https://m.bbb.org/brand/seals/Accredited_Business_Seal_NoRating_RGB.svg","™","BBB Rating: A+","","","","","https://m.bbb.org/prod/ProfileImages/f0d58861-6e70-4e5a-8a2f-f56ec7284830.png?tx=w_80","(902) 830-9005","tel:+1-902-830-9005","PO Box 25141 Halifax, NS",",","B3M 4H4","Get a Quote","https://www.bbb.org/atlantic-provinces/quote/request-dimitris-plumbing-heating-limited-42693"
"https://www.bbb.org/ca/ns/halifax/profile/general-contractor/gil-son-construction-limited-0087-37985","Gil-Son Construction Limited","General Contractor, Plumber, Electrician ...","https://m.bbb.org/brand/seals/Accredited_Business_Seal_NoRating_RGB.svg","™","BBB Rating: A+","Service Area","Serving the following areas:","NS","CAN","https://m.bbb.org/prod/ProfileImages/e4b56aa4-fce6-4a05-96ce-4af2ba216b94.jpeg?tx=w_80","(902) 450-5604","tel:+1-902-450-5604","48 Lovett Lake Crescent Halifax, NS",",","B3S 1B8","Get a Quote","https://www.bbb.org/atlantic-provinces/quote/request-gil-son-construction-limited-37985"
"https://www.bbb.org/ca/ns/halifax/profile/plumber/bremners-plumbing-heating-ltd-0087-703","Bremner's Plumbing & Heating Ltd.","Plumber, Bathroom Remodel, Bathroom Design ...","https://m.bbb.org/brand/seals/Accredited_Business_Seal_NoRating_RGB.svg","™","BBB Rating: A+","Service Area","Serving the following areas:","Halifax, NS","NS","https://m.bbb.org/prod/ProfileImages/6e97e2ab-30de-4d66-9a4d-c0e38c8d1e52.jpeg?tx=w_80","(902) 450-5440","tel:+1-902-450-5440","40 Ash Lake Court Halifax, NS",",","B3S 1B7","Get a Quote","https://www.bbb.org/atlantic-provinces/quote/request-bremners-plumbing-heating-ltd-703"
"https://www.bbb.org/ca/ns/dartmouth/profile/plumbing-and-heating/mackenzie-professional-plumbing-heating-inc-0087-88408","MacKenzie Professional Plumbing & Heating Inc.","Plumbing and Heating, Plumber","https://m.bbb.org/brand/seals/Accredited_Business_Seal_NoRating_RGB.svg","™","BBB Rating: A+","Service Area","Serving the following areas:","Colchester County,  NS","Halifax County,  NS","https://m.bbb.org/prod/ProfileImages/2023/717a9999-a5d7-453b-9de1-1e496b35c407.png?tx=w_80","(902) 789-9984","tel:+1-902-789-9984","Dartmouth, NS","","B2Y 3L6","Get a Quote","https://www.bbb.org/atlantic-provinces/quote/request-mackenzie-professional-plumbing-heating-inc-88408"
"https://www.bbb.org/ca/ns/dartmouth/profile/heating-and-air-conditioning/maritime-hvac-0087-70880","Maritime HVAC","Heating and Air Conditioning, Plumber, Electrician ...","https://m.bbb.org/brand/seals/Accredited_Business_Seal_NoRating_RGB.svg","™","BBB Rating: A+","","","","","https://m.bbb.org/prod/ProfileImages/437b8107-1e1b-4f3d-988f-b5d13c43ffd2.jpeg?tx=w_80","(902) 414-6000","tel:+1-902-414-6000","100-2 Ralston Avenue Dartmouth, NS",",","B3B 1H7","Get a Quote","https://www.bbb.org/atlantic-provinces/quote/request-maritime-hvac-70880"
"https://www.bbb.org/ca/ns/dartmouth/profile/general-contractor/carverys-construction-limited-0087-24346","Carvery's Construction Limited","General Contractor, Construction Services, Plumber ...","https://m.bbb.org/brand/seals/Accredited_Business_Seal_NoRating_RGB.svg","™","BBB Rating: A+","Service Area","Serving the following areas:","NS","CAN","https://m.bbb.org/prod/ProfileImages/15e0e0d5-48ec-4ab8-bf77-da2c49f7ae9c.png?tx=w_80","(902) 463-2513","tel:+1-902-463-2513","Dartmouth, NS","","B3B 1H7","Get a Quote","https://www.bbb.org/atlantic-provinces/quote/request-carverys-construction-limited-24346"
"https://www.bbb.org/ca/ns/dartmouth/profile/plumbing-and-heating/pothier-plumbing-and-heating-inc-0087-69819","Pothier Plumbing and Heating Inc.","Plumbing and Heating, Plumber, Heating Contractors ...","https://m.bbb.org/brand/seals/Accredited_Business_Seal_NoRating_RGB.svg","™","BBB Rating: A+","Service Area","Serving the following areas:","NS","CAN","https://m.bbb.org/prod/ProfileImages/3f944139-3cf7-484e-ade8-8b1fbd355bf8.jpeg?tx=w_80","(902) 403-3774","tel:+1-902-403-3774","Dartmouth, NS","","B2W 1H7","",""
"https://www.bbb.org/ca/ns/dartmouth/profile/commercial-contractors/ryson-construction-0087-25465","Ryson Construction","Commercial Contractors, Construction Services, Plumber ...","https://m.bbb.org/brand/seals/Accredited_Business_Seal_NoRating_RGB.svg","™","BBB Rating: A+","Service Area","Serving the following areas:","Dartmouth, NS","NS","https://m.bbb.org/prod/ProfileImages/6f373092-fd7d-4974-a984-5516dba49c9b.jpeg?tx=w_80","(902) 404-3127","tel:+1-902-404-3127","50 Raddall Ave, Unit 1, Dartmouth, NS",",","B3B 1T2","Get a Quote","https://www.bbb.org/atlantic-provinces/quote/request-ryson-construction-25465"
