"listing__logo--link href","jsMerchantLogo src","listing__name--link","listing__name--link href","listing__title--wrap href","listing__address--full","jsMapBubbleAddress","jsMapBubbleAddress 2","jsMapBubbleAddress 3","jsMapBubbleAddress 4","listing__direction","listing__direction href","jsPreventBubbleMobile","jsPreventBubbleMobile href","merchant__status-text","merchant__status-text href","mlr__submenu__item","mlr__item__cta href 2","serpMessage 2","mlr__item__cta href 3","serpMessage 3","ypModal href","serpMessage 4","serpMessage 5"
"https://www.yellowpages.ca/bus/Nova-Scotia/Aylesford/Adam-Baltzer-Plumbing-Heating/101596180.html?what=plumber&where=Nova+Scotia+NS&useContext=true#gallery","https://ssmscdn.yp.ca/image/original/226e2404-cb3a-4447-8eeb-b3d3075f251c.jpg","Adam Baltzer Plumbing & Heating","https://www.yellowpages.ca/bus/Nova-Scotia/Aylesford/Adam-Baltzer-Plumbing-Heating/101596180.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/Aylesford/Adam-Baltzer-Plumbing-Heating/101596180.html",", ,","1935 Victoria Rd","Aylesford","NS","B0P 1C0","Get directions","https://www.yellowpages.ca/merchant/directions/101596180/?what=plumber&where=Nova+Scotia+NS&useContext=true","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open until  5:30 pm","https://www.yellowpages.ca/bus/Nova-Scotia/Aylesford/Adam-Baltzer-Plumbing-Heating/101596180.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","1-844-323-8125","https://www.yellowpages.ca/merchant/directions/101596180/?what=plumber&where=Nova+Scotia+NS&useContext=true","Directions","https://www.yellowpages.ca/gourl/0ccceb80d67e98b9c0f7340d31f8ba807fb4cf12?redirect=http%3A%2F%2Fwww.baltzerplumbingandheating.ca%2F","Website","javascript:void(0);","Message","Search nearby"
"https://www.yellowpages.ca/bus/Nova-Scotia/Mount-Uniacke/MacGregor-Brown-Plumbing-Heating/104587010.html?what=plumber&where=Nova+Scotia+NS&useContext=true#gallery","https://ssmscdn.yp.ca/image/resize/5b5ac4c8-5dc9-449f-88b9-06d6bf989f94/yp-serp-thumbnail/1.jpg","MacGregor Brown Plumbing & Heating","https://www.yellowpages.ca/bus/Nova-Scotia/Mount-Uniacke/MacGregor-Brown-Plumbing-Heating/104587010.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/Mount-Uniacke/MacGregor-Brown-Plumbing-Heating/104587010.html",", ,","24 Vista Ln","Mount Uniacke","NS","B0N 1Z0","Get directions","https://www.yellowpages.ca/merchant/directions/104587010/?what=plumber&where=Nova+Scotia+NS&useContext=true","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open 24 hours","https://www.yellowpages.ca/bus/Nova-Scotia/Mount-Uniacke/MacGregor-Brown-Plumbing-Heating/104587010.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","902-706-7156","https://www.yellowpages.ca/merchant/directions/104587010/?what=plumber&where=Nova+Scotia+NS&useContext=true","Directions","https://www.yellowpages.ca/gourl/bf6b37cb4307ef6d814d023a1833547f955c5964?redirect=https%3A%2F%2Fwww.macgregorbrownplumbingandheating.ca%2F","Website","javascript:void(0);","Message","Search nearby"
"https://www.yellowpages.ca/bus/Nova-Scotia/Pleasantville/Dalton-Jodrey-Plumbing-Heating-Ltd/474205.html?what=plumber&where=Nova+Scotia+NS&useContext=true#gallery","https://ssmscdn.yp.ca/image/resize/88f7a723-55c9-4388-8ece-9dc16ac5feee/yp-serp-video-thumbnail/1.png","Dalton Jodrey Plumbing & Heating Ltd","https://www.yellowpages.ca/bus/Nova-Scotia/Pleasantville/Dalton-Jodrey-Plumbing-Heating-Ltd/474205.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/Pleasantville/Dalton-Jodrey-Plumbing-Heating-Ltd/474205.html",", ,","83 New Cumberland Rd","Pleasantville","NS","B0R 1G0","Get directions","https://www.yellowpages.ca/merchant/directions/474205/?what=plumber&where=Nova+Scotia+NS&useContext=true","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open until  4:30 pm","https://www.yellowpages.ca/bus/Nova-Scotia/Pleasantville/Dalton-Jodrey-Plumbing-Heating-Ltd/474205.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","1-844-840-9399","https://www.yellowpages.ca/merchant/directions/474205/?what=plumber&where=Nova+Scotia+NS&useContext=true","Directions","https://www.yellowpages.ca/gourl/1291052ca5748da2eabee836099a934593235a6b?redirect=http%3A%2F%2Fwww.daltonjodrey.com%2F","Website","javascript:void(0);","Message","Search nearby"
"https://www.yellowpages.ca/bus/Nova-Scotia/Burnside/Drainbusters/6527806.html?what=plumber&where=Nova+Scotia+NS&useContext=true#gallery","https://ssmscdn.yp.ca/image/resize/c0b7cb6f-1e18-4512-8504-680adcb50f78_yp-serp-thumbnail.jpg","Drainbusters","https://www.yellowpages.ca/bus/Nova-Scotia/Burnside/Drainbusters/6527806.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/Burnside/Drainbusters/6527806.html",", ,","Halifax","Burnside","NS","B3K 5M3","","","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open 24 hours","https://www.yellowpages.ca/bus/Nova-Scotia/Burnside/Drainbusters/6527806.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","902-701-5298","https://www.yellowpages.ca/gourl/dce6d8f07c8bf76e11ac7064d71e3121186a3919?redirect=http%3A%2F%2Fdrainbustersns.com%2F","Website","","Message","javascript:void(0);","Search nearby",""
"https://www.yellowpages.ca/bus/Nova-Scotia/Accent-Plumbing-Heating-Ltd/7334332.html?what=plumber&where=Nova+Scotia+NS&useContext=true#gallery","https://ssmscdn.yp.ca/image/resize/d7a9c809-32d1-42c9-be15-8746e8df6d3a/yp-serp-video-thumbnail/1.png","Accent Plumbing&Heating Ltd","https://www.yellowpages.ca/bus/Nova-Scotia/Accent-Plumbing-Heating-Ltd/7334332.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/Accent-Plumbing-Heating-Ltd/7334332.html","","","","","","","","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open until  5:00 pm","https://www.yellowpages.ca/bus/Nova-Scotia/Accent-Plumbing-Heating-Ltd/7334332.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","902-701-9307","https://www.yellowpages.ca/gourl/f0ba5b03c6efa8b549a2e603519183a18af5a842?redirect=https%3A%2F%2Fwww.accentplumbing.ca%2F","Website","","Message","javascript:void(0);","Search nearby",""
"https://www.yellowpages.ca/bus/Nova-Scotia/Lakeside/HPH-Mechanical-Ltd/793543.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://static.yellowpages.ca/ypca/ypui-7.2.13-20260323.2011/resources/images/merchant-no-logo.svg","HPH Mechanical Ltd","https://www.yellowpages.ca/bus/Nova-Scotia/Lakeside/HPH-Mechanical-Ltd/793543.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/Lakeside/HPH-Mechanical-Ltd/793543.html",", ,","PO Box 131 Stn Main","Lakeside","NS","B3T 1M6","Get directions","https://www.yellowpages.ca/merchant/directions/793543/?what=plumber&where=Nova+Scotia+NS&useContext=true","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open until  5:00 pm","https://www.yellowpages.ca/bus/Nova-Scotia/Lakeside/HPH-Mechanical-Ltd/793543.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","902-704-0069","https://www.yellowpages.ca/merchant/directions/793543/?what=plumber&where=Nova+Scotia+NS&useContext=true","Directions","https://www.yellowpages.ca/gourl/788a7f978bc506918f94eb229b22475e886d0d6a?redirect=https%3A%2F%2Fca.linkedin.com%2Fin%2Fdarren-hurlbert-907253105","Website","javascript:void(0);","Message","Search nearby"
"https://www.yellowpages.ca/bus/Nova-Scotia/Lunenburg/Mason-s-Plumbing-and-Heating/8233803.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://ssmscdn.yp.ca/image/resize/af80aa9e-8989-47e0-a4c8-73f6657c8da8/yp-serp-video-thumbnail/1.png","Mason's Plumbing and Heating","https://www.yellowpages.ca/bus/Nova-Scotia/Lunenburg/Mason-s-Plumbing-and-Heating/8233803.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/Lunenburg/Mason-s-Plumbing-and-Heating/8233803.html",", ,","1424 Northwest Road","Lunenburg","NS","B0J 2C0","Get directions","https://www.yellowpages.ca/merchant/directions/8233803/?what=plumber&where=Nova+Scotia+NS&useContext=true","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open until  4:30 pm","https://www.yellowpages.ca/bus/Nova-Scotia/Lunenburg/Mason-s-Plumbing-and-Heating/8233803.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","902-904-0301","https://www.yellowpages.ca/merchant/directions/8233803/?what=plumber&where=Nova+Scotia+NS&useContext=true","Directions","https://www.yellowpages.ca/gourl/5d65fe5c8c0e22b6e7d2910a90e9a26eafcc668c?redirect=http%3A%2F%2Fwww.masonsplumbing.ca%2F","Website","javascript:void(0);","Message","Search nearby"
"https://www.yellowpages.ca/bus/Nova-Scotia/GJS-Plumbing-Heating/102836287.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://ssmscdn.yp.ca/image/resize/ad19b764-c3f3-41c5-a748-25bd9d04439a/yp-serp-video-thumbnail/1.png","GJS Plumbing & Heating","https://www.yellowpages.ca/bus/Nova-Scotia/GJS-Plumbing-Heating/102836287.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/GJS-Plumbing-Heating/102836287.html","","","","","","","","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open 24 hours","https://www.yellowpages.ca/bus/Nova-Scotia/GJS-Plumbing-Heating/102836287.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","902-982-3586","https://www.yellowpages.ca/gourl/06edef9297850ea348d923ea40569a288f71debe?redirect=http%3A%2F%2Fgjsplumbing.ca%2F","Website","","Search nearby","","",""
"https://www.yellowpages.ca/bus/Nova-Scotia/Yarmouth/Duncan-s-Plumbing-Heating-Filtration/100227221.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://cdn.ci.yp.ca/t/1571/26/15712619ab_t.gif","Duncan's Plumbing Heating & Filtration","https://www.yellowpages.ca/bus/Nova-Scotia/Yarmouth/Duncan-s-Plumbing-Heating-Filtration/100227221.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/Yarmouth/Duncan-s-Plumbing-Heating-Filtration/100227221.html",", ,","632 Main Street","Yarmouth","NS","B5A 1K3","Get directions","https://www.yellowpages.ca/merchant/directions/100227221/?what=plumber&where=Nova+Scotia+NS&useContext=true","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open until  5:00 pm","https://www.yellowpages.ca/bus/Nova-Scotia/Yarmouth/Duncan-s-Plumbing-Heating-Filtration/100227221.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","902-400-0250","https://www.yellowpages.ca/merchant/directions/100227221/?what=plumber&where=Nova+Scotia+NS&useContext=true","Directions","https://www.yellowpages.ca/gourl/544abdd1a38adb1e1a0abe99d7f997728a7da133?redirect=https%3A%2F%2Fwww.facebook.com%2Fpages%2FDuncans-Plumbing-Heating-Filtration%2F614230215391966","Website","javascript:void(0);","Message","Search nearby"
"https://www.yellowpages.ca/bus/Nova-Scotia/New-Glasgow/Vance-Plumbing-Heating-LTD/104271840.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://ssmscdn.yp.ca/image/resize/16ec9d99-2244-480e-8885-ddd00f773bc6/yp-serp-video-thumbnail/1.png","Vance Plumbing & Heating LTD","https://www.yellowpages.ca/bus/Nova-Scotia/New-Glasgow/Vance-Plumbing-Heating-LTD/104271840.html?what=plumber&where=Nova+Scotia+NS&useContext=true","https://www.yellowpages.ca/bus/Nova-Scotia/New-Glasgow/Vance-Plumbing-Heating-LTD/104271840.html",", ,","51 Fourth Street","New Glasgow","NS","B2H 1C9","Get directions","https://www.yellowpages.ca/merchant/directions/104271840/?what=plumber&where=Nova+Scotia+NS&useContext=true","Plumbers & Plumbing Contractors","https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Nova+Scotia+NS","Open until  4:30 pm","https://www.yellowpages.ca/bus/Nova-Scotia/New-Glasgow/Vance-Plumbing-Heating-LTD/104271840.html?what=plumber&where=Nova+Scotia+NS&useContext=true#openHourScroll","1-866-985-3124","https://www.yellowpages.ca/merchant/directions/104271840/?what=plumber&where=Nova+Scotia+NS&useContext=true","Directions","","","","","Search nearby"
